trial,odour,conc,percent,gb,normalized
7,Methyl Oleate,10,362.8056133,Bad,172.4370306
7,Heptadecane,1,307.2402583,Bad,167.452182
7,Heptadecane,10,268.4754046,Bad,162.7526402
7,Methyl Palmitate,0.01,323.8758212,Bad,169.1239687
7,Methyl Palmitate,0.1,431.3472074,Bad,176.8168199
7,Methyl Palmitate,1,818.5803433,Bad,187.7837282
7,Methyl Palmitate,10,161.4638921,Bad,138.0666484
8,Hexane,0,100,Bad,100
8,Methyl Palmitate,0.01,90.25844052,Bad,89.20703768
8,Methyl Palmitate,0.1,211.9059628,Bad,152.8092562
8,Methyl Palmitate,1,108.2262721,Bad,107.6009937
8,Methyl Palmitate,10,162.5105203,Bad,138.4655222
8,Butyric Acid,0.01,67.05427729,Bad,50.86708255
8,Butyric Acid,0.1,72.55540146,Bad,62.17428615
8,Butyric Acid,1,69.4241269,Bad,55.95785722
8,Butyric Acid,10,101.7145339,Bad,101.6856331
8,Heptadecane,0.01,107.0328034,Bad,106.570699
8,Heptadecane,0.1,126.9687966,Bad,121.2404916
8,Heptadecane,1,92.95223748,Bad,92.41786674
8,Heptadecane,10,114.1397765,Bad,112.3881235
8,Geraniol,0.01,73.61307494,Bad,64.15456754
8,Geraniol,0.1,76.31815138,Bad,68.96957252
8,Geraniol,1,117.1328458,Bad,114.6268501
8,Geraniol,10,77.83046419,Bad,71.51560633
8,Hexane,0,100,Bad,100
8,Methyl Palmitate,0.01,103.7494369,Bad,103.6139347
8,Methyl Palmitate,0.1,176.4878966,Bad,143.3388907
8,Methyl Palmitate,1,99.69234982,Bad,99.69140041
8,Methyl Palmitate,10,123.3901661,Bad,118.9562644
8,2-Hydroxyhexanoic Acid (DCM),0.01,122.5328077,Good,118.3892038
8,2-Hydroxyhexanoic Acid (DCM),0.1,94.14719884,Good,93.78335072
8,2-Hydroxyhexanoic Acid (DCM),1,119.4375692,Good,116.2742505
8,2-Hydroxyhexanoic Acid (DCM),10,284.4864899,Good,164.8489459
8,Octadecanol,0.01,63.71252628,Good,43.04499312
8,Octadecanol,0.1,72.63306635,Good,62.32166006
8,Octadecanol,1,72.24729435,Good,61.58651212
8,Octadecanol,10,66.74898464,Bad,50.18498702
8,Methyl Oleate,0.01,132.3042879,Good,124.4166598
8,Methyl Oleate,0.1,56.56757971,Good,23.22029596
8,Methyl Oleate,1,151.21564,Good,133.8692744
8,Hexane,0,100,Good,100
8,Methyl Palmitate,0.01,81.68371394,Good,77.57657534
8,Methyl Palmitate,0.1,62.55790364,Good,40.1480961
8,Methyl Palmitate,1,83.14322468,Good,79.72561759
8,Methyl Palmitate,10,73.99580123,Good,64.85719684
8,Dodecyl Aldehyde,0.01,89.50921398,Good,88.27965797
8,Dodecyl Aldehyde,0.1,74.82823994,Good,66.36061455
